date,description,category,amount
2024-01-15,Grocery Store Purchase,Food,-85.32
2024-01-16,Salary Deposit,Income,3500.00
2024-01-17,Gas Station,Transportation,-45.20
2024-01-18,Netflix Subscription,Entertainment,-15.99
2024-01-19,Coffee Shop,Food,-4.75
2024-01-20,Electric Bill,Utilities,-120.45
2024-01-22,Restaurant Dinner,Food,-67.89
2024-01-23,Online Shopping,Shopping,-156.78
2024-01-24,Gym Membership,Health,-29.99
2024-01-25,Freelance Payment,Income,850.00
2024-01-26,Uber Ride,Transportation,-18.50
2024-01-28,Grocery Store Purchase,Food,-92.15
2024-01-29,Internet Bill,Utilities,-79.99
2024-01-30,Movie Theater,Entertainment,-24.50
2024-02-01,Rent Payment,Housing,-1200.00
2024-02-02,Pharmacy,Health,-23.45
2024-02-03,Gas Station,Transportation,-52.30
2024-02-05,Salary Deposit,Income,3500.00
2024-02-06,Grocery Store Purchase,Food,-78.90
2024-02-07,Spotify Subscription,Entertainment,-9.99
2024-02-08,Coffee Shop,Food,-5.25
2024-02-09,Online Course,Education,-199.00
2024-02-10,Restaurant Lunch,Food,-32.45
2024-02-12,Car Insurance,Insurance,-145.67
2024-02-13,Clothing Store,Shopping,-89.99
2024-02-14,Valentine's Dinner,Food,-125.50
2024-02-15,Phone Bill,Utilities,-65.00
2024-02-16,Bookstore,Education,-45.99
2024-02-18,Gas Station,Transportation,-48.75
2024-02-19,Grocery Store Purchase,Food,-95.20
2024-02-20,Freelance Payment,Income,650.00
2024-02-22,Doctor Visit,Health,-150.00
2024-02-23,Amazon Purchase,Shopping,-67.43
2024-02-24,Coffee Shop,Food,-4.50
2024-02-26,Utility Bill,Utilities,-89.34
2024-02-27,Restaurant Dinner,Food,-78.90
2024-02-28,Gym Membership,Health,-29.99
2024-03-01,Rent Payment,Housing,-1200.00
2024-03-02,Grocery Store Purchase,Food,-102.45
2024-03-03,Gas Station,Transportation,-55.80
2024-03-05,Salary Deposit,Income,3500.00
2024-03-06,Netflix Subscription,Entertainment,-15.99
2024-03-07,Coffee Shop,Food,-6.75
2024-03-08,Online Shopping,Shopping,-234.56
2024-03-10,Electric Bill,Utilities,-135.78
2024-03-11,Restaurant Lunch,Food,-28.90
2024-03-12,Pharmacy,Health,-34.67
2024-03-13,Uber Ride,Transportation,-22.30
2024-03-15,Grocery Store Purchase,Food,-87.65
2024-03-16,Movie Theater,Entertainment,-26.50
2024-03-17,Gas Station,Transportation,-49.20
